CANDIDATE ID,CANDIDATE NAME,FATHER,GROUP,OTHER,Test ID,Test,sub_Verbal Ability,sub_Current Affairs,Sub_General Science,Sub_Numerical Ability,Sub_Social Science,Total,Test Rank,Group Rank,Percentage
5334,,,,,125,PBU 2020,5,20,10,10,10,55,118,0,17.188
5335,,,,,125,PBU 2020,40,20,5,10,10,85,89,0,26.562
5336,,,,,125,PBU 2020,40,10,12,22,14,98,78,0,30.625
5337,,,,,125,PBU 2020,40,20,10,26,10,106,71,0,33.125
5338,,,,,125,PBU 2020,36,30,5,10,10,91,85,0,28.438
5339,,,,,125,PBU 2020,19,23,11,11,6,70,104,0,21.875
5340,,,,,125,PBU 2020,25,5,10,-9,25,56,117,0,17.5
5344,,,,,125,PBU 2020,30,35,15,15,20,115,62,0,35.938
5345,,,,,125,PBU 2020,25,10,0,15,15,65,109,0,20.312
5346,,,,,125,PBU 2020,45,35,15,20,15,130,48,0,40.625
5347,,,,,125,PBU 2020,40,30,20,20,5,115,62,0,35.938
5348,,,,,125,PBU 2020,15,-5,0,20,5,35,133,0,10.938
5350,,,,,125,PBU 2020,25,20,15,10,10,80,94,0,25
5352,,,,,125,PBU 2020,45,40,15,5,30,135,43,0,42.188
5353,,,,,125,PBU 2020,20,10,16,-5,0,41,129,0,12.812
5354,,,,,125,PBU 2020,45,20,15,5,20,105,72,0,32.812
5355,,,,,125,PBU 2020,55,10,0,25,15,105,72,0,32.812
5356,,,,,125,PBU 2020,45,15,10,15,5,90,86,0,28.125
5357,,,,,125,PBU 2020,45,20,20,20,10,115,62,0,35.938
5358,,,,,125,PBU 2020,40,36,20,20,15,131,47,0,40.938
5359,,,,,125,PBU 2020,50,20,17,-1,15,101,76,0,31.562
5360,,,,,125,PBU 2020,10,5,10,-10,10,25,141,0,7.812
5361,,,,,125,PBU 2020,55,46,10,-3,10,118,60,0,36.875
5362,,,,,125,PBU 2020,50,58,12,31,14,165,21,0,51.562
5363,,,,,125,PBU 2020,33,27,25,12,31,128,50,0,40
5365,,,,,125,PBU 2020,45,56,5,42,15,163,23,0,50.938
5368,,,,,125,PBU 2020,35,50,5,-15,5,80,94,0,25
5370,,,,,125,PBU 2020,55,20,10,10,5,100,77,0,31.25
5372,,,,,125,PBU 2020,20,20,10,15,5,70,104,0,21.875
5374,,,,,125,PBU 2020,40,25,-5,10,10,80,94,0,25
5375,,,,,125,PBU 2020,25,30,5,20,0,80,94,0,25
5376,,,,,125,PBU 2020,25,0,10,5,10,50,122,0,15.625
5379,,,,,125,PBU 2020,0,15,0,-5,0,10,152,0,3.125
5380,,,,,125,PBU 2020,43,25,-2,4,10,80,94,0,25
5381,,,,,125,PBU 2020,29,7,5,1,3,45,127,0,14.062
5383,,,,,125,PBU 2020,30,5,0,10,0,45,127,0,14.062
5385,,,,,125,PBU 2020,45,40,5,10,5,105,72,0,32.812
5388,,,,,125,PBU 2020,6,13,9,12,16,56,117,0,17.5
5389,,,,,125,PBU 2020,49,14,6,24,7,100,77,0,31.25
5391,,,,,125,PBU 2020,20,5,10,5,15,55,118,0,17.188
5392,,,,,125,PBU 2020,14,9,4,6,18,51,121,0,15.938
5395,,,,,125,PBU 2020,45,30,-5,20,20,110,67,0,34.375
5398,,,,,125,PBU 2020,30,0,15,10,25,80,94,0,25
5399,,,,,125,PBU 2020,5,10,0,0,5,20,145,0,6.25
5404,,,,,125,PBU 2020,26,20,15,40,15,116,61,0,36.25
5406,,,,,125,PBU 2020,30,40,5,15,15,105,72,0,32.812
5407,,,,,125,PBU 2020,43,16,-3,8,5,69,105,0,21.562
5408,,,,,125,PBU 2020,15,20,-5,-5,5,30,136,0,9.375
5409,,,,,125,PBU 2020,25,5,0,-5,5,30,136,0,9.375
